Fold;Dataset;Model;AUC;F-measure;Precision;Recall;MCC;FNR;TNR;FPR;Anomalies;TP
5;Full dataset;KNN;0.5806046779511375;0.33874208004945144;0.7277556440903055;0.2207452165156093;0.09868770505781185;0.7792547834843907;0.8595890410958904;0.1404109589041096;4965;1096
6;Full dataset;KNN;0.5898797196303743;0.28102539530426446;0.3960162052667117;0.21778685480876345;0.08458141295783433;0.7822131451912365;0.850978758850479;0.14902124114952103;5386;1173
7;Full dataset;KNN;0.5280162835028297;0.19548872180451127;0.19152854511970535;0.19961612284069097;0.01118595815024694;0.8003838771593091;0.8117495711835335;0.18825042881646656;521;104
8;Full dataset;KNN;0.6957293587095147;0.4614173228346457;0.5086805555555556;0.42219020172910665;0.22357565236468388;0.5778097982708934;0.7902149740548555;0.20978502594514456;694;293
9;Full dataset;KNN;0.6747875079922805;0.3582554517133956;0.6117021276595744;0.2533039647577093;0.20845487425211162;0.7466960352422908;0.9027962716378163;0.09720372836218376;454;115
10;Full dataset;KNN;0.6380530153008626;0.33362445414847164;0.37747035573122534;0.29890453834115804;0.16307153986064693;0.701095461658842;0.8507109004739335;0.14928909952606634;639;191
11;Full dataset;KNN;0.6132760665555104;0.3329512893982807;0.38324538258575197;0.29432624113475175;0.13035066746992896;0.7056737588652482;0.8247094113235847;0.17529058867641545;1974;581
12;Full dataset;KNN;0.6766736643736639;0.4106097140888736;0.5068027210884354;0.34510712217718587;0.19726964986367032;0.6548928778228141;0.8303101228788765;0.16968987712112343;1727;596
13;Full dataset;KNN;0.7606146572104019;0.5316455696202531;0.6176470588235294;0.4666666666666666;0.46253229004704316;0.5333333333333333;0.9446808510638298;0.05531914893617021;45;21
14;Full dataset;KNN;0.5741276073081395;0.3413729128014842;0.5111111111111111;0.2562674094707521;0.086074265570206;0.7437325905292479;0.8152230971128609;0.18477690288713908;1436;368
15;Full dataset;KNN;0.6564533399225765;0.28571428571428575;0.25517241379310346;0.32456140350877194;0.14139354853474814;0.6754385964912281;0.8309859154929577;0.16901408450704225;114;37
16;Full dataset;KNN;0.6629592947137538;0.3669724770642202;0.3853564547206166;0.3502626970227671;0.2024249764341902;0.649737302977233;0.8451456310679611;0.15485436893203883;571;200
17;Full dataset;KNN;0.648014381434875;0.3309002433090024;0.5619834710743802;0.23448275862068965;0.14244859134042737;0.7655172413793103;0.8744075829383885;0.12559241706161137;290;68
